Gene	Silent	Nonsense	Frameshift	LOF	Splice	Missense.Benign	Missense.Damaging	Missense.total	Benign	LOF.TO.Benign.Ratio	Splice.TO.Benign.Ratio	Missense.Damaging.TO.Benign.Ratio	Entropy.Score
ABRA	2	0	0	0	0	6	3	4	8	0	0	0.364705882352941	0.022105
ABTB1	2	0	0	0	0	7	0	1	9	0	0	0	0.018896
ABTB2	0	0	0	0	0	6	1	3	6	0	0	0.169230769230769	0
ACAA1	0	0	0	0	0	3	1	1	3	0	0	0.314285714285714	0
ACAA2	0	0	0	0	0	0	0	1	0	0	0	0	0
ACACA	3	0	0	0	0	27	2	4	30	0	0	0.0688524590163934	0.017035
ACACB	6	1	0	1	1	33	6	7	39	0.0253164556962025	0.0253164556962025	0.154430379746835	0.033087
ACAD10	2	0	0	0	0	14	2	5	16	0	0	0.127272727272727	0.023903
ACAD11	3	0	0	0	0	10	0	2	13	0	0	0	0.011929
ACAD8	0	1	0	1	0	4	1	1	4	0.222222222222222	0	0.244444444444444	0
ACAD9	2	1	0	1	0	12	0	2	14	0.0689655172413793	0	0	0
ACADL	0	0	0	0	0	4	1	2	4	0	0	0.244444444444444	0.028513
ACADM	0	0	0	0	0	11	0	1	11	0	0	0	0
ACADS	0	0	0	0	0	0	3	3	0	0	0	6.2	0.17189
ACADSB	0	0	0	0	0	4	0	0	4	0	0	0	0
ACADVL	0	0	0	0	0	3	1	1	3	0	0	0.314285714285714	0
ACAN	2	0	0	0	0	15	9	14	17	0	0	0.52	0.023782
ACAP1	1	0	0	0	0	3	0	0	4	0	0	0	0.011929
ACAP2	1	0	0	0	1	12	0	1	13	0	0.0740740740740741	0	0
ACAP3	2	0	0	0	0	5	0	1	7	0	0	0	0
ACAT1	0	0	0	0	0	2	2	2	2	0	0	0.84	0
ACAT2	1	0	0	0	0	1	0	0	2	0	0	0	0
ACBD3	0	0	0	0	0	3	1	3	3	0	0	0.314285714285714	0
ACBD4	0	0	0	0	0	2	0	1	2	0	0	0	0.0347
ACBD5	0	0	0	0	0	3	0	1	3	0	0	0	0
ACBD6	0	0	0	0	0	5	1	1	5	0	0	0.2	0
ACBD7	0	0	0	0	0	7	0	1	7	0	0	0	0
ACCN1	2	1	0	1	0	20	2	5	22	0.0444444444444444	0	0.0933333333333333	0
ACCN2	0	0	0	0	0	3	2	4	3	0	0	0.6	0
ACCN3	2	0	0	0	0	5	1	3	7	0	0	0.146666666666667	0
ACCN4	1	0	0	0	0	5	1	3	6	0	0	0.169230769230769	0
ACCN5	0	0	0	0	0	7	2	4	7	0	0	0.28	0
ACCS	1	0	0	0	0	6	4	4	7	0	0	0.546666666666667	0.014098
ACCSL	1	1	0	1	0	13	3	4	14	0.0689655172413793	0	0.213793103448276	0.037073
ACD	2	1	0	1	0	3	0	0	5	0.181818181818182	0	0	0.033269
ACE	1	0	0	0	1	19	2	2	20	0	0.0487804878048781	0.102439024390244	0.041585
ACE2	0	0	0	0	1	10	1	2	10	0	0.0952380952380952	0.104761904761905	0
ACER1	0	0	0	0	0	6	0	1	6	0	0	0	0
ACER2	0	0	0	0	0	1	1	2	1	0	0	0.733333333333333	0.143841
ACER3	0	0	0	0	0	6	0	0	6	0	0	0	0
ACHE	1	0	0	0	0	3	2	3	4	0	0	0.466666666666667	0.01463
ACIN1	2	2	0	2	0	10	0	0	12	0.16	0	0	0.008334
ACLY	1	0	0	0	0	3	0	0	4	0	0	0	0
ACMSD	1	0	0	0	0	5	1	1	6	0	0	0.169230769230769	0
ACN9	0	0	0	0	0	2	0	1	2	0	0	0	0
ACO1	0	0	0	0	0	4	0	2	4	0	0	0	0
ACO2	0	0	0	0	0	2	3	3	2	0	0	1.24	0.029576
ACOT11	0	0	0	0	0	5	0	1	5	0	0	0	0.015822
ACOT12	1	0	0	0	0	6	1	1	7	0	0	0.146666666666667	0.07053
ACOT13	0	0	0	0	0	1	0	0	1	0	0	0	0
ACOT2	0	0	0	0	0	0	0	1	0	0	0	0	0.058892
ACOT4	2	0	0	0	0	2	0	0	4	0	0	0	0.033269
ACOT6	0	0	0	0	0	1	0	0	1	0	0	0	0
ACOT7	2	0	0	0	0	4	1	1	6	0	0	0.169230769230769	0
ACOT8	0	0	0	0	0	2	2	3	2	0	0	0.84	0
ACOT9	1	0	0	0	0	2	0	0	3	0	0	0	0.041738
ACOX1	2	1	0	1	1	8	0	1	10	0.0952380952380952	0.0952380952380952	0	0.019858
ACOX2	1	0	0	0	0	5	1	1	6	0	0	0.169230769230769	0
ACOX3	0	0	0	0	0	9	4	5	9	0	0	0.431578947368421	0
ACOXL	1	1	0	1	0	11	2	3	12	0.08	0	0.168	0.050711
ACP1	0	0	0	0	0	6	1	2	6	0	0	0.169230769230769	0.030717
ACP2	0	0	0	0	0	0	1	1	0	0	0	2.2	0.030717
ACP5	0	0	0	0	0	2	0	0	2	0	0	0	0
ACP6	1	1	0	1	1	8	0	0	9	0.105263157894737	0.105263157894737	0	0.018896
ACPL2	1	0	0	0	0	3	2	3	4	0	0	0.466666666666667	0
ACPP	3	0	0	0	0	6	0	0	9	0	0	0	0.037355
ACPT	0	0	0	0	0	3	1	2	3	0	0	0.314285714285714	0
ACR	0	0	0	0	0	2	0	1	2	0	0	0	0
ACRBP	1	0	0	0	0	2	0	0	3	0	0	0	0
ACRC	0	0	0	0	0	2	2	4	2	0	0	0.84	0
ACRV1	0	0	0	0	0	2	1	1	2	0	0	0.44	0
ACSBG1	3	0	0	0	1	9	5	6	12	0	0.08	0.408	0
ACSBG2	0	1	0	1	0	10	0	0	10	0.0952380952380952	0	0	0.059431
ACSF2	0	0	0	0	1	4	0	0	4	0	0.222222222222222	0	0.015203
ACSF3	0	0	0	0	0	2	2	3	2	0	0	0.84	0.017224
ACSL1	1	0	0	0	0	14	1	3	15	0	0	0.0709677419354839	0
ACSL3	0	0	0	0	0	5	1	2	5	0	0	0.2	0.030717
ACSL4	0	1	0	1	0	6	1	1	6	0.153846153846154	0	0.169230769230769	0
ACSL5	2	0	0	0	0	8	0	0	10	0	0	0	0.015822
ACSL6	0	0	0	0	2	12	1	1	12	0	0.16	0.088	0.009119
ACSM1	5	0	0	0	1	21	3	6	26	0	0.0377358490566038	0.116981132075472	0.047038
ACSM2A	8	0	0	0	0	39	3	10	47	0	0	0.0652631578947368	0
ACSM2B	2	3	0	3	0	29	5	10	31	0.0952380952380952	0	0.161904761904762	0
ACSM3	0	0	0	0	0	5	3	4	5	0	0	0.563636363636364	0.018896
ACSM4	3	0	0	0	0	12	4	8	15	0	0	0.264516129032258	0.020376
ACSM5	6	0	0	0	0	27	5	6	33	0	0	0.152238805970149	0.068384
ACSS1	2	0	0	0	0	11	3	3	13	0	0	0.22962962962963	0.027522
ACSS2	1	0	0	0	0	9	0	1	10	0	0	0	0
ACSS3	1	0	0	0	0	16	5	7	17	0	0	0.291428571428571	0.028929
ACTA1	6	1	0	1	0	12	1	3	18	0.0540540540540541	0	0.0594594594594595	0.013604
ACTA2	0	0	0	0	0	2	0	0	2	0	0	0	0
ACTB	0	0	0	0	0	3	1	1	3	0	0	0.314285714285714	0.063061
ACTBL2	1	0	0	0	0	1	2	2	2	0	0	0.84	0
ACTC1	0	0	0	0	1	3	4	6	3	0	0.285714285714286	1.17142857142857	0.02545
ACTG1	0	0	0	0	0	6	2	3	6	0	0	0.323076923076923	0.035459
ACTG2	1	0	0	0	0	8	7	7	9	0	0	0.747368421052632	0.024913
ACTL6A	2	0	0	0	1	8	2	2	10	0	0.0952380952380952	0.2	0.015822
ACTL6B	2	0	0	0	0	9	2	2	11	0	0	0.182608695652174	0
ACTL7A	0	0	0	0	0	1	1	2	1	0	0	0.733333333333333	0.028513
ACTL7B	2	0	0	0	0	2	1	1	4	0	0	0.244444444444444	0.020922
ACTL8	2	0	0	0	0	2	4	4	4	0	0	0.911111111111111	0.046222
ACTL9	2	0	0	0	0	4	2	4	6	0	0	0.323076923076923	0.041987
ACTN1	1	1	0	1	0	12	0	1	13	0.0740740740740741	0	0	0.015203
ACTN2	5	1	0	1	0	27	7	9	32	0.0307692307692308	0	0.218461538461538	0.029435
ACTN3	1	0	0	0	0	5	2	3	6	0	0	0.323076923076923	0
ACTN4	0	1	0	1	0	5	2	4	5	0.181818181818182	0	0.381818181818182	0.011929
ACTR10	3	0	0	0	0	3	2	2	6	0	0	0.323076923076923	0
ACTR1A	0	0	0	0	0	1	0	1	1	0	0	0	0
ACTR1B	1	0	0	0	0	7	0	1	8	0	0	0	0
ACTR2	0	0	0	0	0	2	0	1	2	0	0	0	0
ACTR3	1	0	0	0	0	5	0	0	6	0	0	0	0
ACTR3B	0	0	0	0	0	2	1	1	2	0	0	0.44	0
ACTR5	2	0	0	0	0	3	0	0	5	0	0	0	0
ACTR6	0	0	0	0	0	3	3	3	3	0	0	0.885714285714286	0.020922
ACTR8	0	0	0	0	0	3	2	2	3	0	0	0.6	0
ACTRT1	0	0	0	0	0	2	3	3	2	0	0	1.24	0.04388
ACTRT2	2	0	0	0	0	5	2	4	7	0	0	0.28	0.018448
ACVR1	1	0	0	0	0	6	0	0	7	0	0	0	0
ACVR1B	0	0	0	0	0	2	4	4	2	0	0	1.64	0.041059
ACVR1C	2	0	0	0	0	10	4	4	12	0	0	0.328	0.023427
ACVR2A	0	1	0	1	0	6	1	3	6	0.153846153846154	0	0.169230769230769	0.013143
ACVR2B	0	0	0	0	0	5	0	0	5	0	0	0	0.020922
ACVRL1	0	0	0	0	0	3	1	3	3	0	0	0.314285714285714	0.03625
ACY1	2	1	0	1	0	6	1	1	8	0.117647058823529	0	0.129411764705882	0
ACY3	1	0	0	0	0	4	0	2	5	0	0	0	0.022105
ADA	0	0	0	0	0	2	0	0	2	0	0	0	0
ADAD1	4	0	0	0	1	17	1	4	21	0	0.0465116279069767	0.0511627906976744	0
ADAD2	0	0	0	0	0	2	0	1	2	0	0	0	0
ADAL	1	1	0	1	0	9	0	0	10	0.0952380952380952	0	0	0.03625
ADAM10	0	0	0	0	0	4	2	5	4	0	0	0.466666666666667	0.010068
ADAM11	0	0	0	0	1	6	2	2	6	0	0.153846153846154	0.323076923076923	0.02545
ADAM12	4	1	0	1	0	20	2	4	24	0.0408163265306122	0	0.0857142857142857	0.019858
ADAM15	1	0	0	0	0	7	0	0	8	0	0	0	0.010337
ADAM17	0	0	0	0	0	3	0	0	3	0	0	0	0
ADAM18	3	1	0	1	3	33	5	9	36	0.0273972602739726	0.0821917808219178	0.13972602739726	0.059013
ADAM19	3	1	0	1	0	14	2	3	17	0.0571428571428571	0	0.12	0.007989
ADAM2	2	3	0	3	2	29	3	7	31	0.0952380952380952	0.0634920634920635	0.0984126984126984	0.046752
ADAM20	0	0	0	0	0	3	4	7	3	0	0	1.17142857142857	0.010068
ADAM21	0	1	0	1	0	4	1	5	4	0.222222222222222	0	0.244444444444444	0.022105
ADAM22	2	0	0	0	0	32	4	7	34	0	0	0.118840579710145	0.013847
ADAM23	2	1	0	1	0	13	4	6	15	0.0645161290322581	0	0.264516129032258	0.041763
ADAM28	0	0	0	0	0	2	0	0	2	0	0	0	0
ADAM29	4	1	0	1	0	9	5	8	13	0.0740740740740741	0	0.377777777777778	0.060089
ADAM30	0	0	0	0	0	2	1	3	2	0	0	0.44	0.075964
ADAM32	3	0	0	0	0	11	0	1	14	0	0	0	0.013143
ADAM33	0	0	0	0	0	9	3	5	9	0	0	0.326315789473684	0.012712
ADAM7	2	0	0	0	0	20	2	6	22	0	0	0.0933333333333333	0.059021
ADAM8	0	1	0	1	0	5	1	2	5	0.181818181818182	0	0.2	0.018021
ADAM9	2	0	0	0	0	6	4	5	8	0	0	0.482352941176471	0
ADAMDEC1	0	0	0	0	0	7	2	4	7	0	0	0.28	0.012308
ADAMTS1	2	0	0	0	0	2	0	0	4	0	0	0	0.029576
ADAMTS10	2	0	0	0	0	11	1	3	13	0	0	0.0814814814814815	0.013369
ADAMTS12	9	3	0	3	1	61	18	30	70	0.0425531914893617	0.0141843971631206	0.256737588652482	0.041362
ADAMTS13	2	1	0	1	0	12	2	3	14	0.0689655172413793	0	0.144827586206897	0.031945
ADAMTS14	1	0	0	0	0	11	1	4	12	0	0	0.088	0.01604
ADAMTS15	1	0	0	0	0	6	3	4	7	0	0	0.413333333333333	0
ADAMTS16	13	1	0	1	0	50	12	17	63	0.015748031496063	0	0.190551181102362	0.043385
ADAMTS17	1	0	0	0	0	17	1	6	18	0	0	0.0594594594594595	0.028513
ADAMTS18	1	2	0	2	0	26	7	11	27	0.0727272727272727	0	0.258181818181818	0.043554
ADAMTS19	2	1	0	1	0	23	6	9	25	0.0392156862745098	0	0.23921568627451	0.031356
ADAMTS2	2	0	0	0	0	18	1	4	20	0	0	0.0536585365853659	0.054801
ADAMTS20	4	3	0	3	0	36	12	21	40	0.0740740740740741	0	0.298765432098765	0.026166
ADAMTS3	3	1	0	1	0	12	7	11	15	0.0645161290322581	0	0.458064516129032	0.02315
ADAMTS4	2	0	0	0	0	12	4	6	14	0	0	0.282758620689655	0.022969
ADAMTS5	4	0	0	0	0	9	2	5	13	0	0	0.155555555555556	0.03421
ADAMTS6	1	1	0	1	0	16	2	4	17	0.0571428571428571	0	0.12	0.013143
ADAMTS7	1	0	0	0	0	20	3	8	21	0	0	0.144186046511628	0.059167
ADAMTS8	1	0	1	1	0	5	2	4	6	0.153846153846154	0	0.323076923076923	0.024913
ADAMTS9	5	0	0	0	0	24	8	13	29	0	0	0.274576271186441	0.044171
ADAMTSL1	3	1	0	1	0	13	4	5	16	0.0606060606060606	0	0.248484848484848	0.020271
ADAMTSL2	0	1	0	1	0	6	0	0	6	0.153846153846154	0	0	0
ADAMTSL3	4	5	0	5	0	15	4	5	19	0.256410256410256	0	0.21025641025641	0.003775
ADAMTSL4	3	0	0	0	0	13	0	4	16	0	0	0	0.010068
ADAMTSL5	0	0	0	0	0	0	1	1	0	0	0	2.2	0.022105
ADAP1	1	0	0	0	0	5	0	0	6	0	0	0	0.028513
ADAP2	2	0	0	0	0	5	0	0	7	0	0	0	0
ADAR	2	1	0	1	0	11	2	3	13	0.0740740740740741	0	0.155555555555556	0.016493
ADARB1	1	0	0	0	0	4	0	0	5	0	0	0	0
ADARB2	5	2	0	2	0	19	1	4	24	0.0816326530612245	0	0.0448979591836735	0.060163
ADAT1	1	1	0	1	0	6	2	4	7	0.133333333333333	0	0.28	0.019858
ADAT2	1	0	0	0	0	3	0	1	4	0	0	0	0
ADC	0	0	0	0	0	1	1	1	1	0	0	0.733333333333333	0
ADCK1	3	0	0	0	0	10	0	0	13	0	0	0	0
ADCK2	0	0	0	0	0	6	0	1	6	0	0	0	0
ADCK4	0	0	0	0	0	2	2	2	2	0	0	0.84	0
ADCK5	0	0	0	0	0	1	0	0	1	0	0	0	0
ADCY1	2	0	0	0	0	24	3	10	26	0	0	0.116981132075472	0.026595
ADCY10	1	0	0	0	0	16	4	6	17	0	0	0.234285714285714	0.005341
ADCY2	4	0	1	1	0	33	11	16	37	0.0266666666666667	0	0.296	0.056023
ADCY3	1	1	0	1	0	13	3	6	14	0.0689655172413793	0	0.213793103448276	0.007523
ADCY4	0	0	0	0	0	7	2	4	7	0	0	0.28	0.062235
ADCY5	4	0	0	0	0	14	1	2	18	0	0	0.0594594594594595	0.034073
ADCY6	1	0	0	0	0	10	3	3	11	0	0	0.269565217391304	0.01092
ADCY7	1	0	0	0	1	15	4	6	16	0	0.0606060606060606	0.248484848484848	0.016851
ADCY8	6	1	0	1	0	32	14	18	38	0.025974025974026	0	0.366233766233766	0.038126
ADCY9	0	0	0	0	0	2	1	3	2	0	0	0.44	0.021797
ADCYAP1	0	0	0	0	0	4	0	2	4	0	0	0	0.033269
ADCYAP1R1	2	0	0	0	1	25	6	9	27	0	0.0363636363636364	0.221818181818182	0.024913
ADD1	0	0	0	0	0	8	0	0	8	0	0	0	0.018896
ADD2	1	0	0	0	0	14	1	3	15	0	0	0.0709677419354839	0.024398
ADD3	0	1	0	1	0	4	0	0	4	0.222222222222222	0	0	0
ADH1A	1	0	0	0	0	16	0	1	17	0	0	0	0.03793
ADH1B	1	0	0	0	0	3	1	1	4	0	0	0.244444444444444	0.018896
ADH1C	0	0	0	0	0	3	1	1	3	0	0	0.314285714285714	0.043891
ADH4	0	0	0	0	0	1	2	3	1	0	0	1.4	0.014098
ADH5	0	0	0	0	0	2	1	2	2	0	0	0.44	0
ADH6	1	0	0	0	0	4	0	0	5	0	0	0	0.120001
ADH7	0	0	0	0	0	5	1	1	5	0	0	0.2	0.029576
ADHFE1	0	0	0	0	0	3	1	2	3	0	0	0.314285714285714	0.025727
ADI1	0	0	0	0	0	1	0	0	1	0	0	0	0
ADIPOQ	1	1	0	1	0	2	1	1	3	0.285714285714286	0	0.314285714285714	0.057923
ADIPOR1	1	0	0	0	0	4	0	1	5	0	0	0	0
ADIPOR2	0	0	0	0	0	9	3	4	9	0	0	0.326315789473684	0.030717
ADK	0	0	0	0	0	7	0	0	7	0	0	0	0
ADM	0	0	0	0	0	1	0	0	1	0	0	0	0
ADNP	0	0	0	0	0	4	0	2	4	0	0	0	0
ADNP2	1	0	0	0	0	1	4	4	2	0	0	1.64	0
ADO	0	0	0	0	0	0	1	2	0	0	0	2.2	0
ADORA1	0	0	0	0	0	5	0	3	5	0	0	0	0.029576
ADORA2A	2	0	0	0	0	5	2	5	7	0	0	0.28	0.023427
ADORA2B	0	0	0	0	0	2	1	3	2	0	0	0.44	0.043891
ADORA3	1	0	0	0	0	6	0	1	7	0	0	0	0.050039
ADPGK	0	0	0	0	0	2	0	0	2	0	0	0	0
ADPRH	1	1	0	1	0	8	2	3	9	0.105263157894737	0	0.221052631578947	0.030717
ADPRHL1	1	0	0	0	0	5	0	0	6	0	0	0	0
ADPRHL2	1	0	0	0	0	3	0	0	4	0	0	0	0
ADRA1A	1	1	0	1	0	6	0	1	7	0.133333333333333	0	0	0.043488
ADRA1B	1	0	0	0	0	2	3	3	3	0	0	0.885714285714286	0
ADRA1D	0	1	0	1	0	2	1	2	2	0.4	0	0.44	0
ADRA2B	0	0	0	0	0	5	2	6	5	0	0	0.381818181818182	0
ADRA2C	0	0	0	0	0	1	1	2	1	0	0	0.733333333333333	0
ADRB1	0	1	0	1	0	1	0	0	1	0.666666666666667	0	0	0.043891
ADRB2	1	0	0	0	0	3	2	4	4	0	0	0.466666666666667	0
ADRB3	0	0	0	0	0	1	0	0	1	0	0	0	0.033269
ADRBK1	0	0	0	0	0	6	1	1	6	0	0	0.169230769230769	0.019858
ADRBK2	1	0	0	0	0	14	0	1	15	0	0	0	0.025727
ADRM1	0	0	0	0	0	1	0	0	1	0	0	0	0.028513
ADSL	0	0	0	0	0	1	1	1	1	0	0	0.733333333333333	0.027522
ADSS	0	0	0	0	0	2	1	1	2	0	0	0.44	0
ADSSL1	1	0	0	0	1	2	1	1	3	0	0.285714285714286	0.314285714285714	0.0347
AEBP1	0	0	0	0	0	4	3	3	4	0	0	0.688888888888889	0
AEBP2	0	0	0	0	0	3	1	1	3	0	0	0.314285714285714	0
AEN	1	0	0	0	0	2	0	1	3	0	0	0	0
AES	2	0	0	0	0	4	1	3	6	0	0	0.169230769230769	0.033269
AFAP1	1	0	0	0	1	8	1	1	9	0	0.105263157894737	0.115789473684211	0.013143
AFAP1L1	1	0	0	0	0	8	1	6	9	0	0	0.115789473684211	0.019365
AFAP1L2	0	0	0	0	0	5	1	2	5	0	0	0.2	0
AFF1	1	1	0	1	0	11	3	6	12	0.08	0	0.248	0
AFF2	3	0	0	0	0	19	5	6	22	0	0	0.226666666666667	0.045208
AFF3	4	0	0	0	1	25	5	8	29	0	0.0338983050847458	0.172881355932203	0.025149
AFF4	0	1	0	1	0	10	2	4	10	0.0952380952380952	0	0.2	0.014359
AFG3L2	2	0	0	0	0	7	3	3	9	0	0	0.326315789473684	0
AFM	1	0	0	0	0	11	0	2	12	0	0	0	0
